edate,date,party,partyname,partyabbrev,parfam,coderid,manual,coderyear,testresult,testeditsim,pervote,voteest,presvote,absseat,totseats,progtype,datasetorigin,corpusversion,total,peruncod,per101,per102,per103,per104,per105,per106,per107,per108,per109,per110,per201,per202,per203,per204,per301,per302,per303,per304,per305,per401,per402,per403,per404,per405,per406,per407,per408,per409,per410,per411,per412,per413,per414,per415,per416,per501,per502,per503,per504,per505,per506,per507,per601,per602,per603,per604,per605,per606,per607,per608,per701,per702,per703,per704,per705,per706,per1011,per1012,per1013,per1014,per1015,per1016,per1021,per1022,per1023,per1024,per1025,per1026,per1031,per1032,per1033,per2021,per2022,per2023,per2031,per2032,per2033,per2041,per3011,per3051,per3052,per3053,per3054,per3055,per4011,per4012,per4013,per4014,per4121,per4122,per4123,per4124,per4131,per4132,per5021,per5031,per5041,per5061,per6011,per6012,per6013,per6014,per6061,per6071,per6072,per6081,per7051,per7052,per7061,per7062,per103_1,per103_2,per201_1,per201_2,per202_1,per202_2,per202_3,per202_4,per305_1,per305_2,per305_3,per305_4,per305_5,per305_6,per416_1,per416_2,per601_1,per601_2,per602_1,per602_2,per605_1,per605_2,per606_1,per606_2,per607_1,per607_2,per607_3,per608_1,per608_2,per608_3,per703_1,per703_2,rile,planeco,markeco,welfare,intpeace,datasetversion,id_perm
07-07-48,194807,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,31.039,0,,32,100,1,10,,62,6.6,3.3,0,1.6,1.6,0,0,4.9,3.3,0,0,0,3.3,0,0,0,1.6,3.3,0,0,4.9,3.3,0,0,1.6,0,0,0,0,4.9,1.6,0,0,1.6,0,0,0,0,6.6,9.8,0,3.3,0,0,0,18,0,0,0,3.3,0,0,0,4.9,3.3,0,3.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.5,0,6.5,16.4,0,2018b,NI3MO7
07-07-48,194807,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,13.209,0,,13,100,1,10,,147,6.8,2.7,0,2,0.7,0,0,1.4,1.4,0,0,6.1,0.7,1.4,0,4.1,0,1.4,0,0,8.2,4.1,2.7,0,12.2,0,0,0.7,0,1.4,2,2,0,0.7,0,0,0,1.4,4.8,4.8,0,3.4,0,0,0,9.5,0,4.8,0,5.4,0,0,0,2,0.7,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,4.7,8.9,9.6,0,2018b,GFD11T
07-07-48,194807,22525,Christelijk-Historische Unie,CHU,50,113,0,1982,,,9.188,0,,9,100,1,10,,68,16.2,0,0,4.4,1.5,0,0,0,0,0,0,8.8,2.9,1.5,0,0,1.5,1.5,1.5,0,1.5,2.9,0,0,2.9,0,0,4.4,0,1.5,1.5,1.5,0,0,0,0,0,0,2.9,5.9,0,1.5,0,0,0,10.3,0,8.8,1.5,5.9,0,0,0,1.5,1.5,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.6,1.5,1.5,8.8,0,2018b,EWZPHE
07-07-48,194807,22952,Staatskundig Gereformeerde Partij (SGP),SGP,95,331,4,2017,0.81,0.66,2.371,0,,2,100,6,120,2018-2,57,0,1.754,0,0,3.509,0,0,0,0,0,0,0,5.263,0,0,5.263,0,1.754,0,0,1.754,0,1.754,0,0,0,0,0,0,0,0,3.509,0,0,0,0,1.754,0,3.509,3.509,10.526,0,3.509,0,0,45.614,0,7.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.386,5.263,1.754,7.018,0,2018b,CPMK5J
25-06-52,195206,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,28.972,0,,30,100,1,10,,137,11,1.5,0,0.7,1.5,0.7,2.2,5.1,0.7,0,0,4.4,2.2,0.7,0,0,0,2.2,0,0,0.7,1.5,0,0.7,0.7,0,0,4.4,1.5,1.5,2.9,4.4,2.9,0.7,0,0,0,5.1,10.2,8.8,0,5.8,0,0.7,0,0.7,0,0,0.7,1.5,0,0.7,0,3.7,0,0,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.6,5.1,1.4,19,2.9,2018b,JUCUVQ
25-06-52,195206,22420,VVD,VVD,40,113,0,1982,,,8.828,0,,9,100,1,10,,52,0,9.6,0,1.9,0,0,0,1.9,3.8,0,0,3.8,1.9,0,0,1.9,0,1.9,0,0,17.3,3.8,0,0,1.9,0,1.9,0,1.9,1.9,0,0,0,11.5,0,0,0,3.8,9.6,0,0,1.9,0,0,0,1.9,0,0,0,5.8,0,0,0,1.9,0,1.9,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.6,0,28.8,9.6,0,2018b,2YLCVW
25-06-52,195206,22522,Katholieke Volkspartij (KVP),KVP,50,113,0,1982,,,28.665,0,,30,100,1,10,,309,5.1,1.9,0.6,1,1.9,0,0.3,3.5,3.5,0,0,2.6,1.3,0.6,0,2.3,0.3,3.2,0,0,2.9,6.4,1.3,0,2.3,0,1,1,1,1.9,1.6,0.3,0,3.9,0,0,0.6,1.3,5.5,4.8,0,2.3,0,2.3,0,10,0,0,3.5,9,0,0.6,0,4.2,0.6,0,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.7,1.6,6.8,10.3,0.9,2018b,JL6FRJ
25-06-52,195206,22523,Anti-Revolutionaire Partij,ARP,50,113,0,1982,,,11.307,0,,12,100,1,10,,161,6.2,1.9,0,1.2,2.5,0,0,1.2,1.9,0,0,2.5,0.6,0.6,0,2.5,0,1.2,0,0,5.6,3.7,1.9,0,4.4,0,1.2,0.6,0.6,2.5,3.1,1.9,0,1.9,0,0,1.2,1.9,3.1,8.7,0,0.6,0.6,0.6,0,11.2,0,3.1,0,9.9,0,1.2,0,5.6,0.6,0.6,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.6,3.8,7.5,11.8,0,2018b,KQLU9U
25-06-52,195206,22525,Christelijk-Historische Unie,CHU,50,998,998,,,,8.925,0,,9,100,3,10,,62,14.35,1.8,0,2.2,1.65,0,0,1.8,0,0,0,5.3,1.45,0.75,0,0,0.75,4.3,0.75,0,2.55,4.15,0,0,3.25,0,0,4,0,0.75,1.65,0.75,0,1.8,0,0,0,0,4.15,5.65,0,1.65,0,0.9,0,14.1,0,4.4,2.55,3.85,0,0.9,0,3.45,0.75,0.9,3.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.75,0.75,4.35,9.8,0,2018b,ASCUQ5
13-06-56,195606,22320,Partij van de Arbeid (P.v.d.A),PvdA,30,113,0,1982,,,32.687,0,,50,150,1,10,,288,10.1,0.7,0,1,1.8,0,0.4,2.8,2.4,0,0,3.2,4.6,0,0,0,0,2.4,0,0,1,1.8,2.1,0.4,0.7,0,0,1.4,2.1,1.8,6.6,3.2,1,0,0,0,1,3.8,7,11.9,0,5.2,0,0.7,0,1,0,0,2.1,1.4,4.9,0,0,2.1,0.7,0,6.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21,5.7,1,18.9,0.4,2018b,8287W6
