RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;17004;
Nederland;L528;AantalGeldigeStemmen;;9424235;
Nederland;L528;AantalOngeldigeStemmen;;20984;
Nederland;L528;Kiesgerechtigden;;12689810;
Nederland;L528;Opkomst;;9462223;
Nederland;L528;;VVD;2504948;41
Nederland;L528;;Partij van de Arbeid (P.v.d.A.);2340750;38
Nederland;L528;;PVV (Partij voor de Vrijheid);950263;15
Nederland;L528;;SP (Socialistische Partij);909853;15
Nederland;L528;;Christen Democratisch Appèl (CDA);801620;13
Nederland;L528;;Democraten 66 (D66);757091;12
Nederland;L528;;ChristenUnie;294586;5
Nederland;L528;;GROENLINKS;219896;4
Nederland;L528;;Staatkundig Gereformeerde Partij (SGP);196780;3
Nederland;L528;;Partij voor de Dieren;182162;2
Nederland;L528;;50PLUS;177631;2
Nederland;L528;;Piratenpartij;30600;
Nederland;L528;;Partij voor Mens en Spirit (MenS);18310;
Nederland;L528;;SOPN;12982;
