RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;6879500;
Nederland;L528;AantalOngeldigeStemmen;;198298;
Nederland;L528;Kiesgerechtigden;;7450680;
Nederland;L528;Opkomst;;7077798;
Nederland;L528;;KVP;1822939;42
Nederland;L528;;PvdA;1620447;37
Nederland;L528;;VVD;738229;17
Nederland;L528;;ARP;681203;15
Nederland;L528;;CHU;560467;12
Nederland;L528;;Boeren Partij;328186;7
Nederland;L528;;D66;307859;7
Nederland;L528;;CPN;248330;5
Nederland;L528;;PSP;197217;4
Nederland;L528;;SGP;138119;3
Nederland;L528;;GPV;59218;1
Nederland;L528;;Noodraad;45485;
Nederland;L528;;Christen-Democratische Unie;45346;
Nederland;L528;;Partij voor Ongehuwden;43340;
Nederland;L528;;Landsbelangen;17596;
Nederland;L528;;Liberale Volkspartij;11292;
Nederland;L528;;Lijst Voogd;4808;
Nederland;L528;;Lijst van Breukelen-Grein;3560;
Nederland;L528;;Lijst-Machiela;1676;
Nederland;L528;;Lijst-Germeaux;1218;
Nederland;L528;;Partij van het Recht;1070;
Nederland;L528;;CNVP;992;
Nederland;L528;;Lijst-Rodemond;916;
