RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;16315;
Nederland;L528;AantalGeldigeStemmen;;9838683;
Nederland;L528;Kiesgerechtigden;;12264503;
Nederland;L528;Opkomst;;9854998;
Nederland;L528;;CDA;2608573;41
Nederland;L528;;PvdA;2085077;33
Nederland;L528;;SP;1630803;25
Nederland;L528;;VVD;1443312;22
Nederland;L528;;PVV;579490;9
Nederland;L528;;GL;453054;7
Nederland;L528;;CU;390969;6
Nederland;L528;;D66;193232;3
Nederland;L528;;PvdD;179988;2
Nederland;L528;;SGP;153266;2
Nederland;L528;;ETnNL;62829;
Nederland;L528;;Fortuyn;20956;
Nederland;L528;;Verenigde Senioren Partij;12522;
Nederland;L528;;Ad Bos Collectief;5149;
Nederland;L528;;Partij voor Nederland;5010;
Nederland;L528;;Lijst Potmis;4339;
Nederland;L528;;Nederland Transparant;2318;
Nederland;L528;;Groen Vrij Internet Partij;2297;
Nederland;L528;;Liberaal Democratische Partij;2276;
Nederland;L528;;Lijst Poortman;2181;
Nederland;L528;;Continue Directe Democratie Partij;559;
Nederland;L528;;LRVP - het Zeteltje;185;
Nederland;L528;;Solide Multiculturele Partij;184;
Nederland;L528;;Tamara's Open Partij;114;
