RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;12127;
Nederland;L528;AantalGeldigeStemmen;;9654475;
Nederland;L528;Kiesgerechtigden;;12076711;
Nederland;L528;Opkomst;;9666602;
Nederland;L528;;CDA;2763480;44
Nederland;L528;;PvdA;2631363;42
Nederland;L528;;VVD;1728707;28
Nederland;L528;;SP;609723;9
Nederland;L528;;LPF;549975;8
Nederland;L528;;GL;495802;8
Nederland;L528;;D66;393333;6
Nederland;L528;;CU;204694;3
Nederland;L528;;SGP;150305;2
Nederland;L528;;PvdD;47754;
Nederland;L528;;LN;38894;
Nederland;L528;;Partij van de Toekomst;13845;
Nederland;L528;;Lijst Ratelband;9045;
Nederland;L528;;Duurzaam Nederland;7271;
Nederland;L528;;Nieuwe Communistische Partij;4854;
Nederland;L528;;De Conservatieven.nl;2521;
Nederland;L528;;VIP Vooruitstrevende Integratie Partij;1623;
Nederland;L528;;Alliantie Vernieuwing en Democratie;990;
Nederland;L528;;Lijst Veldhoen;296;
