RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;5999530;
Nederland;L528;AantalOngeldigeStemmen;;143879;
Nederland;L528;Kiesgerechtigden;;6425458;
Nederland;L528;Opkomst;;6143409;
Nederland;L528;;KVP;1895914;49
Nederland;L528;;PvdA;1821285;48
Nederland;L528;;VVD;732758;19
Nederland;L528;;ARP;563091;14
Nederland;L528;;CHU;486429;12
Nederland;L528;;CPN;144542;3
Nederland;L528;;SGP;129678;3
Nederland;L528;;PSP;110499;2
Nederland;L528;;GPV;39972;
Nederland;L528;;Boeren Partij;37774;
Nederland;L528;;Bruggroep;34723;
Nederland;L528;;Partij voor Landbouw en Middenstand;1649;
Nederland;L528;;Positief Christelijk Nationale Unie;1317;
