RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;14074;
Nederland;L528;AantalGeldigeStemmen;;9501152;
Nederland;L528;Kiesgerechtigden;;12035935;
Nederland;L528;Opkomst;;9515226;
Nederland;L528;;CDA;2653723;43
Nederland;L528;;LPF;1614801;26
Nederland;L528;;VVD;1466722;24
Nederland;L528;;PvdA;1436023;23
Nederland;L528;;GL;660692;10
Nederland;L528;;SP;560447;9
Nederland;L528;;D66;484317;7
Nederland;L528;;CU;240953;4
Nederland;L528;;SGP;163562;2
Nederland;L528;;LN;153055;2
Nederland;L528;;Verenigde Senioren Partij;39005;
Nederland;L528;;Vrije Indische Partij & OuderenUnie;10033;
Nederland;L528;;Duurzaam Nederland;9058;
Nederland;L528;;Partij van de Toekomst;6393;
Nederland;L528;;Nieuwe Midden Partij;2305;
Nederland;L528;;Republikeinse Volkspartij;63;
