RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;6320012;
Nederland;L528;AantalOngeldigeStemmen;;46567;
Nederland;L528;Kiesgerechtigden;;8046969;
Nederland;L528;Opkomst;;6366579;
Nederland;L528;;PvdA;1554733;39
Nederland;L528;;KVP;1380365;35
Nederland;L528;;VVD;653606;16
Nederland;L528;;ARP;542874;13
Nederland;L528;;D66;428150;11
Nederland;L528;;CHU;399164;10
Nederland;L528;;DS70;336788;8
Nederland;L528;;CPN;246594;6
Nederland;L528;;SGP;148221;3
Nederland;L528;;PPR;116065;2
Nederland;L528;;GPV;101797;2
Nederland;L528;;Nederlandse Middenstands Partij;95653;2
Nederland;L528;;PSP;90752;2
Nederland;L528;;Boeren Partij;69678;1
Nederland;L528;;Algemene Bejaarden Partij Nederland;26881;
Nederland;L528;;Nederlands Appel;24379;
Nederland;L528;;Nieuwe Roomse Partij;23061;
Nederland;L528;;Kabouters;21988;
Nederland;L528;;Bejaarden en Arbeidspartij;21489;
Nederland;L528;;Binding Rechts;15137;
Nederland;L528;;Democraten 2000;7189;
Nederland;L528;;Bejaardenpartij 65+;5784;
Nederland;L528;;Lijst van Velzen;3676;
Nederland;L528;;Bejaarden Partij Algemeen Belang;1843;
Nederland;L528;;Stichting Gedupeerde Groepen 18+ t/m 65;1648;
Nederland;L528;;Landelijke Partij van Bejaarden;1620;
Nederland;L528;;Partij van het Recht;477;
Nederland;L528;;Positief Sociaal Democraten;400;
