RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;8876514;
Nederland;L528;AantalOngeldigeStemmen;;26389;
Nederland;L528;Kiesgerechtigden;;11091070;
Nederland;L528;Opkomst;;8902903;
Nederland;L528;;CDA;3135056;54
Nederland;L528;;PvdA;2832739;49
Nederland;L528;;VVD;1290427;22
Nederland;L528;;D66;700538;12
Nederland;L528;;GL;361324;6
Nederland;L528;;SGP;165918;3
Nederland;L528;;GPV;109458;2
Nederland;L528;;RPF;85081;1
Nederland;L528;;CD;81337;1
Nederland;L528;;SP;38829;
Nederland;L528;;De Groenen;30698;
Nederland;L528;;Vrouwenpartij;12018;
Nederland;L528;;Bejaarden Centraal;7840;
Nederland;L528;;VCN: partij van communisten in Nederland;7361;
Nederland;L528;;Realisten Nederland;6032;
Nederland;L528;;Socialistische Arbeiderspartij;4283;
Nederland;L528;;Anti Werkloosheid Partij;2166;
Nederland;L528;;Politieke Partij voor Ouderen;2149;
Nederland;L528;;Vooruitstrevende Minderheden Partij;1939;
Nederland;L528;;Partij Democratisch Socialisten;452;
Nederland;L528;;Socialistische Minderheden Partij;328;
Nederland;L528;;Humanistische Partij;318;
Nederland;L528;;Milieu Defensie Partij 2000+;138;
Nederland;L528;;Grote Alliance Partij;54;
Nederland;L528;;Staatkundige Federatie;31;
