RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;4931499;
Nederland;L528;AantalOngeldigeStemmen;;0;
Nederland;L528;Kiesgerechtigden;;5413204;
Nederland;L528;Opkomst;;4931499;
Nederland;L528;;KVP;1530794;32
Nederland;L528;;PvdA;1262888;27
Nederland;L528;;ARP;651080;13
Nederland;L528;;CHU;453136;9
Nederland;L528;;VVD;391861;8
Nederland;L528;;CPN;381863;8
Nederland;L528;;SGP;116864;2
Nederland;L528;;Overig;80655;
Nederland;L528;;Lijst Welter;62358;1
