RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;6258005;
Nederland;L528;AantalOngeldigeStemmen;;161441;
Nederland;L528;Kiesgerechtigden;;6746362;
Nederland;L528;Opkomst;;6419446;
Nederland;L528;;KVP;1995348;50
Nederland;L528;;PvdA;1753025;43
Nederland;L528;;VVD;643820;16
Nederland;L528;;ARP;545718;13
Nederland;L528;;CHU;536782;13
Nederland;L528;;PSP;189370;4
Nederland;L528;;CPN;173322;4
Nederland;L528;;SGP;143549;3
Nederland;L528;;Boeren Partij;133210;3
Nederland;L528;;GPV;46324;1
Nederland;L528;;Partij Economisch Appel;37554;
Nederland;L528;;Liberale Staatspartij;22353;
Nederland;L528;;Liberale Unie "Veilig Verkeer";21048;
Nederland;L528;;Nieuw-Democratische Partij;13064;
Nederland;L528;;CNVP;1823;
Nederland;L528;;Lijst Grol;876;
Nederland;L528;;Volksreferendum;819;
