RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;21387;
Nederland;L528;AantalGeldigeStemmen;;7394045;
Nederland;L528;AantalOngeldigeStemmen;;29855;
Nederland;L528;Kiesgerechtigden;;8915179;
Nederland;L528;Opkomst;;7445287;
Nederland;L528;;PvdA;2021454;43
Nederland;L528;;KVP;1305401;27
Nederland;L528;;VVD;1068375;22
Nederland;L528;;ARP;653609;14
Nederland;L528;;PPR;354829;7
Nederland;L528;;CHU;354463;7
Nederland;L528;;CPN;330398;7
Nederland;L528;;D66;307048;6
Nederland;L528;;DS70;304714;6
Nederland;L528;;SGP;163114;3
Nederland;L528;;Boeren Partij;143239;3
Nederland;L528;;GPV;131236;2
Nederland;L528;;PSP;111262;2
Nederland;L528;;RKPN;67658;1
Nederland;L528;;Democratische Middenpartij;41262;
Nederland;L528;;Nederlandse Middenstands Partij;32970;
Nederland;L528;;Lijst ir. W. Stam;1547;
Nederland;L528;;Partij van het Recht;656;
Nederland;L528;;Anti-Woningnood Aktie;574;
Nederland;L528;;Nieuwe Roomse Partij;236;
