RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalBlancoStemmen;;14435;
Nederland;L528;AantalGeldigeStemmen;;8607787;
Nederland;L528;Kiesgerechtigden;;11755132;
Nederland;L528;Opkomst;;8622222;
Nederland;L528;;PvdA;2494555;45
Nederland;L528;;VVD;2124971;38
Nederland;L528;;CDA;1581053;29
Nederland;L528;;D66;773497;14
Nederland;L528;;GL;625968;11
Nederland;L528;;SP;303703;5
Nederland;L528;;RPF;174593;3
Nederland;L528;;SGP;153583;3
Nederland;L528;;GPV;108724;2
Nederland;L528;;CD;52226;
Nederland;L528;;AOV/Unie55+;45994;
Nederland;L528;;Nederland Mobiel;45219;
Nederland;L528;;Senioren 2000;36157;
Nederland;L528;;Nederlandse Middenstands Partij;23512;
Nederland;L528;;De Groenen;16585;
Nederland;L528;;Natuurwetpartij;15746;
Nederland;L528;;Katholiek Politieke Partij;8233;
Nederland;L528;;Vrije Indische Partij;7225;
Nederland;L528;;Nieuw Solidair Ouderen Verbond;6455;
Nederland;L528;;Nieuwe Communistische Partij;5620;
Nederland;L528;;Idealisten/Jij;2500;
Nederland;L528;;Het Kiezers Collectief;1668;
