RegioNaam;RegioCode;RegioUitslag;Partij;AantalStemmen;AantalZetels
Nederland;L528;AantalGeldigeStemmen;;9172159;
Nederland;L528;AantalOngeldigeStemmen;;27462;
Nederland;L528;Kiesgerechtigden;;10727701;
Nederland;L528;Opkomst;;9199621;
Nederland;L528;;CDA;3172918;54
Nederland;L528;;PvdA;3051678;52
Nederland;L528;;VVD;1596991;27
Nederland;L528;;D66;562466;9
Nederland;L528;;SGP;159740;3
Nederland;L528;;PPR;115203;2
Nederland;L528;;PSP;110182;1
Nederland;L528;;GPV;88381;1
Nederland;L528;;RPF;83582;1
Nederland;L528;;CPN;57847;
Nederland;L528;;CP;36741;
Nederland;L528;;SP;32144;
Nederland;L528;;Evangelische Volkspartij;21998;
Nederland;L528;;Federatie Groenen;18641;
Nederland;L528;;Partij voor de Middengroepen;15297;
Nederland;L528;;Loesje;12882;
Nederland;L528;;CD;12277;
Nederland;L528;;VCN: partij van communisten in Nederland;4618;
Nederland;L528;;Partij voor Ambtenaren en Trendvolgers;4500;
Nederland;L528;;Anti Revolutionairen '85;3664;
Nederland;L528;;Socialistische Arbeiderspartij;3634;
Nederland;L528;;God Met Ons;2375;
Nederland;L528;;Partij Algemeen Belang;2128;
Nederland;L528;;Partij Geluk voor Iedereen;1184;
Nederland;L528;;Lijst Wissink;560;
Nederland;L528;;Humanistische Partij;463;
Nederland;L528;;Lijst Brummer;65;
